slug,image_path,is_primary
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_1_V2gCaEG1IKQC7gfd28uKdtLis4hioiVMj04nPtn6.webp,True
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_2_V2gCaEG1IKQC7gfd28uKdtLis4hioiVMj04nPtn6.webp,False
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_3_xWnILTPbfd49eSP2M1yiEfF0ThirVppqwLL7Ksa4.webp,False
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_4_7FuAS497cJU7KJtVTdk3juudX2avlBkgQquXcMnX.webp,False
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_5_X0QDD7sLOXJVAdqaCbwTSaAkEiFUSpDjWUxzK9Fb.webp,False
skruf-crystal-fresh-extra-strong,skruf/skruf-crystal-fresh-extra-strong_6_NkIlLUUqapvU6GSCeFfF7TB0d5Zp9xwKCLGQIWud.webp,False
77-ghost-mini-cola-extra-strong,77/77-ghost-mini-cola-extra-strong_1_G6lHogolkZ1xh7gePxBrlX0JTpqv5ho4sM4sSRaz.webp,True
77-ghost-mini-bubble-gum-extra-strong,77/77-ghost-mini-bubble-gum-extra-strong_1_UQT1sJ1z4gBxW4NVnWgmqOWTEjacInHSkMscGwZQ.webp,True
77-ghost-mini-original-extra-strong,77/77-ghost-mini-original-extra-strong_1_AkW3ftaWAzFu2QtwVVOKX6qtILadwq6MXVeQdUSK.webp,True
77-cola-medium,77/77-cola-medium_1_VLau5froD2BbQzkkrHm7HsUP8axr9HFN46g3eRn6.webp,True
77-blueberry-medium,77/77-blueberry-medium_1_o1t98vWz7ArJ5Ilk3T53rtqn4QaSWitHq1wNyaCA.webp,True
neafs-ice-cool-regular,neafs/neafs-ice-cool-regular_1_qtv8T0kp6nQ2BcYXyJW6dRpEfTqRd0S0xU5xcxPV.webp,True
neafs-ice-cool-regular,neafs/neafs-ice-cool-regular_2_qtv8T0kp6nQ2BcYXyJW6dRpEfTqRd0S0xU5xcxPV.webp,False
neafs-ice-cool-regular,neafs/neafs-ice-cool-regular_3_ubsANfb7gPi35Lrdsjyeiab5UxHME6fAAQt5pUfM.webp,False
neafs-ice-cool-strong,neafs/neafs-ice-cool-strong_1_8kNB9xtYd27693KM6OBaFrZyBXOHZ8yNpMZjlXQx.webp,True
neafs-ice-cool-strong,neafs/neafs-ice-cool-strong_2_8kNB9xtYd27693KM6OBaFrZyBXOHZ8yNpMZjlXQx.webp,False
neafs-ice-cool-strong,neafs/neafs-ice-cool-strong_3_7ByZrdgrtbf0TcUKPAq3Sld3ALsrts2uG1ZY7pqw.webp,False
neafs-ice-cool-extra-strong,neafs/neafs-ice-cool-extra-strong_1_8cXeF70xtySxv19NqaomxoUXb4YJJMv7K6GRXTg9.webp,True
neafs-ice-cool-extra-strong,neafs/neafs-ice-cool-extra-strong_2_8cXeF70xtySxv19NqaomxoUXb4YJJMv7K6GRXTg9.webp,False
neafs-ice-cool-extra-strong,neafs/neafs-ice-cool-extra-strong_3_UtpwbNEN40pg3yovSn3ZFk3846vqKMJ7UjGVnZsV.webp,False
neafs-mint-fusion-regular,neafs/neafs-mint-fusion-regular_1_IechbyM18QCFMe2uLiKvmYHoqF6Rsasz692eMjYx.webp,True
neafs-mint-fusion-regular,neafs/neafs-mint-fusion-regular_2_IechbyM18QCFMe2uLiKvmYHoqF6Rsasz692eMjYx.webp,False
neafs-mint-fusion-regular,neafs/neafs-mint-fusion-regular_3_DKTUOQfpO5OaBiBeTvrm0ZK2j9zOh96oscr4ix9l.webp,False
neafs-mint-fusion-strong,neafs/neafs-mint-fusion-strong_1_t0cLHqSzmrV9cy0IkQMBS63QKB85OZ9yXv1yjebi.webp,True
neafs-mint-fusion-strong,neafs/neafs-mint-fusion-strong_2_t0cLHqSzmrV9cy0IkQMBS63QKB85OZ9yXv1yjebi.webp,False
neafs-mint-fusion-strong,neafs/neafs-mint-fusion-strong_3_mCyKsZNOIpM5KsUbxSIQn8IzDTwh8i02Czp0dWPa.webp,False
neafs-mint-fusion-extra-strong,neafs/neafs-mint-fusion-extra-strong_1_vxuKqgWrHAiBnQma1Q5SN7fWVM5MHm6xasJsHyps.webp,True
neafs-mint-fusion-extra-strong,neafs/neafs-mint-fusion-extra-strong_2_vxuKqgWrHAiBnQma1Q5SN7fWVM5MHm6xasJsHyps.webp,False
neafs-mint-fusion-extra-strong,neafs/neafs-mint-fusion-extra-strong_3_ap62KzUJ4aVw7P9d2gQjGkjw0pd1hn18a1VRzNyM.webp,False
neafs-menthol-regular,neafs/neafs-menthol-regular_1_cu2Udu7YdMciDAfbgOiqfhV7Zp4Twq5KV5pQvS7U.webp,True
neafs-menthol-regular,neafs/neafs-menthol-regular_2_cu2Udu7YdMciDAfbgOiqfhV7Zp4Twq5KV5pQvS7U.webp,False
